Identity,Name,Origin name,Destination name,Flight price,Flight sale price,Flight description,Final URL,ImageURL
ORD,DEL,Chicago,New Delhi,33900 INR,30510 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=ORD&to=DEL&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_NEWDELHI.png
SGN,CCU,Ho Chi Minh City,Kolkata,10191 INR,9157 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=SGN&to=CCU&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_KOLKATA.png
SIF,KTM,Nepal,Kathmandu,2012 INR,1862 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=SIF&to=KTM&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_KATHMANDU.png
SIN,DPS,Singapore,Denpasar,11079 INR,9983 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=SIN&to=DPS&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_DENPASAR.png
TRV,KWI,Trivandrum,Kuwait City,13654 INR,12289 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=TRV&to=KWI&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_KUWAIT.png
TRZ,DOH,Tiruchirapally,Doha,30631 INR,27568 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=TRZ&to=DOH&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_DOHA.png
AMD,KWI,Ahmedabad,Kuwait City,15756 INR,14181 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=AMD&to=KWI&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_KUWAIT.png
AMD,MLE,Ahmedabad,Male,11908 INR,10718 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=AMD&to=MLE&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_MALE.png
BKK,GOI,Bangkok,Goa,13304 INR,11974 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=BKK&to=GOI&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_GOA.jpg
BLR,LKO,Bangalore,Lucknow,4707 INR,4557 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=BLR&to=LKO&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_LUCKNOW.png
BLR,YYZ,Bangalore,Toronto,141918 INR,134418 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=BLR&to=YYZ&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_TORONTO.png
BOM,BLR,Mumbai,Bangalore,2862 INR,2712 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=BOM&to=BLR&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_BANGALORE.png
BOM,CCU,Mumbai,Kolkata,6678 INR,5527 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=BOM&to=CCU&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_KOLKATA.png
BOM,DMM,Mumbai,Dammam,13894 INR,12505 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=BOM&to=DMM&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_DAMMAM.png
BOM,GVA,Mumbai,Geneva,41125 INR,37013 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=BOM&to=GVA&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_GENEVA.jpg
BOM,IXC,Mumbai,Chandigarh,7926 INR,7134 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=BOM&to=IXC&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_CHANDIGARH.jpg
BOM,LAX,Mumbai,Los Angeles,66578 INR,59921 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=BOM&to=LAX&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_LOSANGELES.jpg
BOM,NAG,Mumbai,Nagpur,3633 INR,3483 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=BOM&to=NAG&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_NAGPUR.jpg
BOS,BOM,Boston,Mumbai,39016 INR,35115 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=BOS&to=BOM&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_MUMBAI.png
CAI,BEG,Cairo,Belgrade,24542 INR,22088 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=CAI&to=BEG&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_BELGRADE.jpg
CCJ,RUH,Kozhikode,Riyadh,27604 INR,24844 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=CCJ&to=RUH&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_RIYADH.png
CNN,RUH,Kannur,Riyadh,36845 INR,33161 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=CNN&to=RUH&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_RIYADH.png
COK,DMM,Kochi,Dammam,20508 INR,18458 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=COK&to=DMM&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_DAMMAM.png
DAC,BOM,Dhaka,Mumbai,17604 INR,15316 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=DAC&to=BOM&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_MUMBAI.png
